ATKName, Discription, CostCenter
HCMC-Grant  Remote Patient Monitoring  -6405543500,Grant  Remote Patient Monitoring  -6405543500-,6405543500
HCMC-Journey 2 Better Health  -6405544000,Journey 2 Better Health  -6405544000-,6405544000
HCMC-Million Hearts Grant  -6405545000,Million Hearts Grant  -6405545000-,6405545000
HCMC-Horizon Transitions Grant  -6405546000,Horizon Transitions Grant  -6405546000-,6405546000
HCMC-WELLNESS  -6405610000,WELLNESS  -6405610000-,6405610000
HCMC-Integrative Medicine  -6405620000,Integrative Medicine  -6405620000-,6405620000
HCMC-ADMIN  -6406010000,ADMIN  -6406010000-,6406010000
HCMC-Cultural Transformation  -6406022000,Cultural Transformation  -6406022000-,6406022000
HCMC-M and C  -6406110000,M and C  -6406110000-,6406110000
HCMC-Case  -6406120000,Case  -6406120000-,6406120000
HCMC-Outcomes  -6406130000,Outcomes  -6406130000-,6406130000
HCMC-Hawthorne Building  -6406181000,Hawthorne Building  -6406181000-,6406181000
HCMC-ACCESS  -6406210000,ACCESS  -6406210000-,6406210000
HCMC-REVENUE  -6406215000,REVENUE  -6406215000-,6406215000
HCMC-CLEARANCE  -6406220000,CLEARANCE  -6406220000-,6406220000
HCMC-TELECOM  -6406350000,TELECOM  -6406350000-,6406350000
HCMC-HR  -6406410000,HR  -6406410000-,6406410000
HCMC-OCC Health  -6406430000,OCC Health  -6406430000-,6406430000
HCMC-HIM  -6406510000,HIM  -6406510000-,6406510000
HCMC-MED STAFF  -6406710000,MED STAFF  -6406710000-,6406710000
HCMC-SUPPLY CHAIN-6406810000,SUPPLY CHAIN-6406810000-,6406810000
HCMC-GEN STORES  -6406820000,GEN STORES  -6406820000-,6406820000
HCMC-EVS  -6406920000,EVS  -6406920000-,6406920000
HCMC-PLANT  -6406950000,PLANT  -6406950000-,6406950000
HCMC-MAINT  -6406955000,MAINT  -6406955000-,6406955000
HCMC-Patient Care Admin-6407000000,Patient Care Admin-6407000000-,6407000000
HCMC-Nursing Admin  -6407010000,Nursing Admin  -6407010000-,6407010000
HCMC-Continuing Education  -6407050000,Continuing Education  -6407050000-,6407050000
HCMC-Central Monitor Nursing  -6407070000,Central Monitor Nursing  -6407070000-,6407070000
HCMC-Constant Observer  -6407071000,Constant Observer  -6407071000-,6407071000
HCMC-2P  -6407120000,2P  -6407120000-,6407120000
HCMC-JAS  -6407125000,JAS  -6407125000-,6407125000
HCMC-3P  -6407130000,3P  -6407130000-,6407130000
HCMC-4P  -6407140000,4P  -6407140000-,6407140000
HCMC-1N  -6407210000,1N  -6407210000-,6407210000
HCMC-PSYCH SW  -6407215000,PSYCH SW  -6407215000-,6407215000
HCMC-SCU  -6407230000,SCU  -6407230000-,6407230000
HCMC-ICU-6407235000,ICU-6407235000-,6407235000
HCMC-Overflow PACU ICU  -6407236000,Overflow PACU ICU  -6407236000-,6407236000
HCMC-Overflow PreOp ICU  -6407237000,Overflow PreOp ICU  -6407237000-,6407237000
HCMC-ACUTE ONC  -6407240000,ACUTE ONC  -6407240000-,6407240000
HCMC-1 North Psych Overflow  -6407250000,1 North Psych Overflow  -6407250000-,6407250000
HCMC-1N Overflow Non COVID Med Surg  -6407252000,1N Overflow Non COVID Med Surg  -6407252000-,6407252000
HCMC-PEDS-6407310000,PEDS-6407310000-,6407310000
HCMC-MCU  -6407320000,MCU  -6407320000-,6407320000
HCMC-NICU-6407340000,NICU-6407340000-,6407340000
HCMC-Lactation  -6407350000,Lactation  -6407350000-,6407350000
HCMC-L and D  -6407360000,L and D  -6407360000-,6407360000
HCMC-MFM  -6407370000,MFM  -6407370000-,6407370000
HCMC-ED-6407410000,ED-6407410000-,6407410000
HCMC-4S  -6407420000,4S  -6407420000-,6407420000
HCMC-1CX PEDS CASA  -6407424000,1CX PEDS CASA  -6407424000-,6407424000
HCMC-OBS  -6407440000,OBS  -6407440000-,6407440000
HCMC-OR-6407520000,OR-6407520000-,6407520000
HCMC-PACU-6407550000,PACU-6407550000-,6407550000
HCMC-STERILE  -6407570000,STERILE  -6407570000-,6407570000
HCMC-OP Admin  -6408200000,OP Admin  -6408200000-,6408200000
HCMC-RT  -6408210000,RT  -6408210000-,6408210000
HCMC-PULM REHAB  -6408220000,PULM REHAB  -6408220000-,6408220000
HCMC-ECHO  -6408235000,ECHO  -6408235000-,6408235000
HCMC-CARDIAC DIAG  -6408240000,CARDIAC DIAG  -6408240000-,6408240000
HCMC-CARDIAC REHAB-6408245000,CARDIAC REHAB-6408245000-,6408245000
HCMC-PT-6408250000,PT-6408250000-,6408250000
HCMC-OP PT  -6408250200,OP PT  -6408250200-,6408250200
HCMC-OT  -6408255000,OT  -6408255000-,6408255000
HCMC-OP OT  -6408255200,OP OT  -6408255200-,6408255200
HCMC-SLP  -6408265000,SLP  -6408265000-,6408265000
HCMC-OP SLP  -6408265200,OP SLP  -6408265200-,6408265200
HCMC-TRANSPORT  -6408340000,TRANSPORT  -6408340000-,6408340000
HCMC-XRAY  -6408410000,XRAY  -6408410000-,6408410000
HCMC-CT-6408420000,CT-6408420000-,6408420000
HCMC-Nuclear Med  -6408430000,Nuclear Med  -6408430000-,6408430000
HCMC-MRI-6408450000,MRI-6408450000-,6408450000
HCMC-MAMMO  -6408460000,MAMMO  -6408460000-,6408460000
HCMC-IRCV  -6408475000,IRCV  -6408475000-,6408475000
HCMC-ULTRASOUND  -6408490000,ULTRASOUND  -6408490000-,6408490000
HCMC-MFM ULTRA  -6408493000,MFM ULTRA  -6408493000-,6408493000
HCMC-VASCULAR  -6408495000,VASCULAR  -6408495000-,6408495000
HCMC-COVID VACCINE CLINIC   -6408580000,COVID VACCINE CLINIC   -6408580000-,6408580000
HCMC-Pharmacy  -6408710000,Pharmacy  -6408710000-,6408710000
HCMC-INF  -6408810000,INF  -6408810000-,6408810000
HCMC-Diabetes  Com Well  -6408815111,Diabetes  Com Well  -6408815111-,6408815111
HCMC-WC  -6408820000,WC  -6408820000-,6408820000
HCMC-AC  -6408830000,AC  -6408830000-,6408830000
HCMC-CLINIC MFM  -6408835000,CLINIC MFM  -6408835000-,6408835000
HCMC-BC  -6408845000,BC  -6408845000-,6408845000
HCMC-ED Surge Tent-6408850000,ED Surge Tent-6408850000-,6408850000
HCMC-Dietary  -6408910000,Dietary  -6408910000-,6408910000
HCMC-Cafeteria  -6408920000,Cafeteria  -6408920000-,6408920000
HCMC-Catering  -6408930000,Catering  -6408930000-,6408930000
HCMC-HHF  -6416010000,HHF  -6416010000-,6416010000
ACH-8S  -6500000200,8S  -6500000200-,6500000200
ACH-7N  -6500000201,7N  -6500000201-,6500000201
ACH-7S  -6500000202,7S  -6500000202-,6500000202
ACH-8NE  -6500000205,8NE  -6500000205-,6500000205
ACH-PICU  -6500000300,PICU  -6500000300-,6500000300
ACH-NICU  -6500000301,NICU  -6500000301-,6500000301
ACH-IMC  -6500000304,IMC  -6500000304-,6500000304
ACH-EC  -6500000408,EC  -6500000408-,6500000408
ACH-PCU  -6500000601,PCU  -6500000601-,6500000601
ACH-CVICU  -6500000602,CVICU  -6500000602-,6500000602
ACH-CVOR  -6500000603,CVOR  -6500000603-,6500000603
ACH-ECMO  -6500000605,ECMO  -6500000605-,6500000605
ACH-CATH Lab  -6500000606,CATH Lab  -6500000606-,6500000606
ACH-EP Lab  -6500000607,EP Lab  -6500000607-,6500000607
ACH-IR  -6500000608,IR  -6500000608-,6500000608
JHU-Parking  BSI  -9999992030,Parking  BSI  -9999992030-,9999992030
JHU-BlueJay Shuttle  BSI  -9999992840,BlueJay Shuttle  BSI  -9999992840-,9999992840
JHU-Homewood Shuttle  BSI  -9999992860,Homewood Shuttle  BSI  -9999992860-,9999992860
SMH-SNF-9999999888,SNF-9999999888-,9999999888
JHH-Weinberg 5A-48051337022,Weinberg 5A-48051337022-,48051337022
